"","state","mrp_estimate","mrp_estimate_se","sample_cces_estimate","sample_cces_estimate_se","full_cces_estimate","full_cces_estimate_se","n_sample","n_full"
"16","KS",0.50456635240889,0.0442447224946522,0.565217391304348,0.0730911717549384,0.470338983050847,0.0229738347887672,46,472
"17","KY",0.535196904379106,0.037355723556824,0.51219512195122,0.0551993371072554,0.531317494600432,0.0163987572137481,82,926
"18","LA",0.482162773170755,0.0412930426210918,0.474576271186441,0.0650102513445764,0.556497175141243,0.0186708052262913,59,708
"19","ME",0.434112243179285,0.0468653183599784,0.482758620689655,0.0927924519149901,0.382911392405063,0.0273450906182884,29,316
"20","MD",0.337628829281962,0.0397422381456649,0.266666666666667,0.051062779080338,0.37463976945245,0.0150019151065981,75,1041
"21","MA",0.340779531055754,0.0341343620363777,0.324561403508772,0.0438519537724324,0.30295358649789,0.0133493377868267,114,1185
"22","MI",0.436301619605615,0.0304083178618547,0.431137724550898,0.0383224568721578,0.402202412165705,0.0112285601054562,167,1907
"23","MN",0.428070037178187,0.0384859717707473,0.405797101449275,0.0591149474592573,0.376767676767677,0.0154008328028381,69,990
"24","MS",0.534257879206231,0.0481363190031909,0.692307692307692,0.0739053017561941,0.581609195402299,0.0236516840656167,39,435
"25","MO",0.469857064744156,0.0350301819194234,0.455357142857143,0.0470568629526823,0.511036789297659,0.0129283642246968,112,1495
"26","MT",0.468654552779619,0.0488315183013978,0.461538461538462,0.0977675245080373,0.426923076923077,0.0306757084623604,26,260
"27","NE",0.501438936240137,0.0472185929520571,0.533333333333333,0.0910840068085298,0.498567335243553,0.0267642765090628,30,349
"28","NV",0.391043546391961,0.0390584728904236,0.365079365079365,0.06065730203398,0.426356589147287,0.0194727656384313,63,645
"29","NH",0.418246205370594,0.0463243487886228,0.387096774193548,0.0874832447741257,0.402027027027027,0.028498535794941,31,296
"30","NJ",0.364406028682892,0.0329596399429916,0.352941176470588,0.0438076105607603,0.361111111111111,0.0122080869896888,119,1548
"31","NM",0.394271465809644,0.0437061529735394,0.4,0.0894427190999916,0.428205128205128,0.025056116320912,30,390
"32","NY",0.349529007814387,0.0247407930206715,0.348122866894198,0.0278301366618935,0.321552723059096,0.00794966365249664,293,3452
"33","NC",0.442200436659018,0.0311252351776957,0.435374149659864,0.0408933821524056,0.469094922737307,0.0117235653560467,147,1812
"34","ND",0.505675286535956,0.0524443589666945,0.4,0.126491106406735,0.457831325301205,0.0386692651275779,15,166
"35","OH",0.455396302491701,0.0294531426366411,0.448648648648649,0.0365663439048023,0.437280187573271,0.00980597677897232,185,2559
"36","OK",0.56985690098528,0.0406538345118653,0.6,0.0632455532033676,0.497681607418856,0.0196568170372735,60,647
"37","OR",0.388149744681021,0.0391543217688125,0.360655737704918,0.0614821280929936,0.346491228070175,0.0157570318798603,61,912
"38","PA",0.473631544817234,0.0289374024090088,0.49034749034749,0.0310626983998796,0.447318007662835,0.00888454050159337,259,3132
"39","RI",0.360294314080592,0.0497809155652064,0.142857142857143,0.0935219529582824,0.320652173913043,0.0344075918441008,14,184
"40","SC",0.50009132907671,0.0394216377387581,0.536231884057971,0.0600346820750257,0.52292576419214,0.0165030898700173,69,916
"41","SD",0.514123332404658,0.0524037691217547,0.583333333333333,0.142318760638328,0.490445859872611,0.0398970584940049,12,157
"42","TN",0.489816322211758,0.0338043474167856,0.46218487394958,0.0457036504657714,0.525914634146341,0.0137853877143059,119,1312
"43","TX",0.506957301907327,0.0231697366276196,0.518518518518518,0.0256995802403226,0.506880216557636,0.00750896392841038,378,4433
"44","UT",0.458080182969927,0.0469444649249538,0.435897435897436,0.0794033618863734,0.524046434494196,0.0203380130406419,39,603
"45","VT",0.403156980358222,0.0530773080065305,0.727272727272727,0.134281626522908,0.3671875,0.0426065612468232,11,128
"46","VA",0.425937048588658,0.0300420361657179,0.414012738853503,0.0393098252673693,0.438787185354691,0.0118691616100079,157,1748
"47","WA",0.379655360257653,0.0325543944174908,0.37984496124031,0.0427325164085822,0.381337252020573,0.0131659601684781,129,1361
"48","WV",0.550184172582014,0.0453275790202288,0.466666666666667,0.0743697801363623,0.495670995670996,0.0232612333669607,45,462
"49","WI",0.439175742562011,0.0379033354631563,0.430232558139535,0.0533889310076761,0.437754271765663,0.0141514954865182,86,1229
"50","WY",0.528031274330851,0.0586806372693779,0.545454545454545,0.150131422517231,0.568627450980392,0.0490388274509501,11,102
